qubits,layers,connectivity,seed,strength,alpha,validation_RMSE,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
5,1,random,42,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,14,2.837958335876465,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,linear,43,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.6460750102996826,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,random,43,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.807936429977417,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,linear,44,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.7120914459228516,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,random,44,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,3.472425937652588,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,linear,45,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.531128168106079,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,linear,46,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.5325186252593994,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,random,46,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.848818063735962,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,linear,47,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.8920700550079346,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,random,47,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,14,2.8241493701934814,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,2,linear,42,0.9750000000000001,100.0,0.006128841011950353,0.0064638883343386445,5.183371139139143,0.008321105204870878,-3.200419348681457,16,27,4.5351080894470215,yfinance:SPY:2010-01-01:2024-12-31,0.008587415465871705,0.00456452434157645,0.9549400897464788,0.0450599102535212,0.018287631414234604,35
5,3,linear,43,0.8,100.0,0.006131631986631536,0.0064638883343386445,5.140193185919312,0.008321105204870878,-1.8273524994874533,24,37,6.1370391845703125,yfinance:SPY:2010-01-01:2024-12-31,0.008473161128817066,0.004457995800353898,0.9561311446246595,0.04386885537534049,0.017746040305581114,36
5,2,linear,46,0.8500000000000001,100.0,0.006138953221469154,0.0064638883343386445,5.026929551726804,0.008321105204870878,-2.0677091087159427,16,27,4.866188049316406,yfinance:SPY:2010-01-01:2024-12-31,0.00849316145513783,0.0046145520656355465,0.9559238012445069,0.044076198755493075,0.01804050638543586,37
