qubits,layers,connectivity,encoding_axis,seed,strength,alpha,validation_RMSE,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
9,2,grid,ry,46,0.8500000000000001,100.0,0.006109450946182466,0.0064638664433526215,5.483026301303497,0.00832107442297213,-3.1004550358635212,48,45,10.303824186325073,yfinance:SPY:2010-01-01:2024-12-31,0.008579065593957122,0.004576140586587951,0.955027479754412,0.0449725202455879,0.01821771283416442,11
9,2,grid,rz,42,0.75,1000.0,0.0061298317123820514,0.0064638664433526215,5.167723279834907,0.00832107442297213,-1.906376683133082,48,45,10.39826488494873,yfinance:SPY:2010-01-01:2024-12-31,0.008479705445557822,0.004613517029482521,0.9560631636444581,0.04393683635554196,0.01725939748845681,12
9,1,grid,ry,46,0.675,100.0,0.006135355738067578,0.0064638664433526215,5.082263195937176,0.00832107442297213,0.9323717396655858,24,29,6.06623387336731,yfinance:SPY:2010-01-01:2024-12-31,0.008243491076615797,0.004609010812625156,0.9584769168017976,0.04152308319820242,0.01711428850835182,13
9,1,grid,ry,40,0.6000000000000001,100.0,0.006141275051764737,0.0064638664433526215,4.99068776273424,0.00832107442297213,-0.6780321226252491,24,29,5.762787342071533,yfinance:SPY:2010-01-01:2024-12-31,0.008377493980507435,0.00454076910769059,0.9571159791857362,0.042884020814263735,0.017409199809196117,14
9,2,grid,rz,45,0.7250000000000001,1000.0,0.00614425024138055,0.0064638664433526215,4.944659744644974,0.00832107442297213,-2.924523378308096,48,45,10.935662508010864,yfinance:SPY:2010-01-01:2024-12-31,0.008564426189798366,0.004646071586076652,0.955180831927171,0.04481916807282902,0.01797229839613155,15
9,2,grid,ry,44,0.675,100.0,0.006161179797782071,0.0064638664433526215,4.682749067036046,0.00832107442297213,-2.687297208501232,48,45,11.244069576263428,yfinance:SPY:2010-01-01:2024-12-31,0.00854468642365797,0.004599432790563965,0.9553871972576561,0.04461280274234395,0.018099525397679426,16
9,2,grid,rz,46,0.65,100.0,0.006163505559873718,0.0064638664433526215,4.646768093232983,0.00832107442297213,0.3025924252555794,48,45,10.276503562927246,yfinance:SPY:2010-01-01:2024-12-31,0.008295895482068338,0.00455897568643957,0.9579473089136599,0.042052691086340084,0.017010814879535173,17
9,2,grid,rz,47,0.7000000000000001,100.0,0.006167088700653953,0.0064638664433526215,4.591334695720272,0.00832107442297213,-1.4002997714164296,48,45,10.269176721572876,yfinance:SPY:2010-01-01:2024-12-31,0.0084375944090964,0.004516003567424898,0.9564984692172248,0.04350153078277518,0.016958732036503874,18
9,1,grid,ry,43,0.7000000000000001,100.0,0.006169500594377564,0.0064638664433526215,4.554021212455285,0.00832107442297213,-1.821266677301024,24,29,5.685281753540039,yfinance:SPY:2010-01-01:2024-12-31,0.00847262337863114,0.00457319073534143,0.9561365231919202,0.04386347680807975,0.01728469669118691,19
9,1,grid,ry,45,0.5750000000000001,1000.0,0.00618497375955621,0.0064638664433526215,4.314641805188004,0.00832107442297213,-0.944499814311842,24,29,6.039647340774536,yfinance:SPY:2010-01-01:2024-12-31,0.008399666955445853,0.004634374389839145,0.9568886738209628,0.043111326179037235,0.016920883241010213,20
9,2,grid,rz,43,0.6000000000000001,100.0,0.006194951851984958,0.0064638664433526215,4.160274562049664,0.00832107442297213,0.25933394353072775,48,45,10.475261211395264,yfinance:SPY:2010-01-01:2024-12-31,0.00829949505252691,0.004422192614571139,0.9579108078596702,0.04208919214032984,0.016779104750717016,21
9,2,grid,rz,44,0.675,100.0,0.006226887897411392,0.0064638664433526215,3.6662042450604138,0.00832107442297213,-3.1793850076216637,48,45,10.31257939338684,yfinance:SPY:2010-01-01:2024-12-31,0.008585633415649148,0.004588555281494283,0.954958594733396,0.04504140526660408,0.018209087288689536,22
9,2,grid,ry,43,0.5750000000000001,1000.0,0.006254318767367188,0.0064638664433526215,3.2418317708425164,0.00832107442297213,-0.8293401924971512,48,45,10.79147458076477,yfinance:SPY:2010-01-01:2024-12-31,0.008390084437609439,0.004494437322136946,0.9569869823393968,0.04301301766060316,0.01700537214629911,23
9,1,grid,ry,47,0.8,1000.0,0.006267174416496978,0.0064638664433526215,3.0429469510144322,0.00832107442297213,-1.4634782279006158,24,29,6.0711894035339355,yfinance:SPY:2010-01-01:2024-12-31,0.008442851535479735,0.004610596101604443,0.9564442442144977,0.04355575578550232,0.016635611709607957,24
9,2,grid,ry,45,0.55,100.0,0.006270230112109439,0.0064638664433526215,2.995673455510772,0.00832107442297213,-2.7262818128681934,48,45,10.20626163482666,yfinance:SPY:2010-01-01:2024-12-31,0.008547930361600847,0.004590808551705789,0.9553533168722026,0.04464668312779741,0.0176255665376295,25
9,2,grid,ry,41,0.625,100.0,0.006275151799939247,0.0064638664433526215,2.9195319096892316,0.00832107442297213,-1.6283534821897372,48,45,10.948424816131592,yfinance:SPY:2010-01-01:2024-12-31,0.008456570928094197,0.00451882990388172,0.9563025754857543,0.04369742451424576,0.017888279428441446,26
9,2,grid,ry,40,0.75,1000.0,0.006315012068568342,0.0064638664433526215,2.3028689730642546,0.00832107442297213,-1.6678386561192116,48,45,10.377750396728516,yfinance:SPY:2010-01-01:2024-12-31,0.008459856518802909,0.004563599269082759,0.9562686137904431,0.04373138620955682,0.01759292131300064,27
9,2,grid,rz,40,0.7250000000000001,1000.0,0.006323039006553744,0.0064638664433526215,2.1786872923976257,0.00832107442297213,-1.5919987179572646,48,45,10.205479621887207,yfinance:SPY:2010-01-01:2024-12-31,0.008453545821106117,0.004698040214274255,0.9563338330112487,0.043666166988751254,0.0175303785423265,28
9,1,grid,ry,42,0.7000000000000001,1000.0,0.006339159995891054,0.0064638664433526215,1.9292856458971908,0.00832107442297213,-0.6723118405713289,24,29,5.873834848403931,yfinance:SPY:2010-01-01:2024-12-31,0.008377017991580525,0.0045934736932657485,0.957120852179786,0.04287914782021392,0.01692156452268141,29
9,2,grid,ry,42,0.625,1000.0,0.0063425222169120115,0.0064638664433526215,1.877270013296751,0.00832107442297213,-1.5229798376449686,48,45,10.57950234413147,yfinance:SPY:2010-01-01:2024-12-31,0.008447802708709429,0.004613477315201539,0.9563931441035998,0.04360685589640018,0.017100924855147522,30
9,2,grid,ry,47,0.55,1000.0,0.006366954177826962,0.0064638664433526215,1.499292511300624,0.00832107442297213,-1.528521587360751,48,45,11.804306507110596,yfinance:SPY:2010-01-01:2024-12-31,0.008448263841827614,0.004654071084958948,0.9563883833119592,0.04361161668804076,0.017397047179041277,31
9,2,grid,rz,41,0.55,1000.0,0.006383236125850925,0.0064638664433526215,1.2474007346580651,0.00832107442297213,-0.7898401692747364,48,45,10.277411699295044,yfinance:SPY:2010-01-01:2024-12-31,0.00838679761128001,0.004566210484544756,0.9570206765477994,0.04297932345220059,0.0168070791701275,32
